ISBN,name,writer,pagenum,price,date,tags
9787550285422,昨天的青春：八十年代中学生,任曙林,288,99.80元,2016-11,摄影;青春;任曙林;中国;八十年代;画册;后浪;昨天的青春：八十年代中学生
9787511104656,工业革命以来的英国环境史,布雷恩·威廉·克拉普,214,28.00元,2011-11,环境史;社会史;英国;环境;英国史;阅读-社会学;阅读-生态学;历史
9787806969946,清代社会环境和人口行为,郭松义,393,30.00元,2012-11,清史;社会史;历史;人口史;明清史;近现代史;计划中;经济史
9781107044395,Rice,FrancescaBray/PeterA.Coclanis/EddaFields-Black/DagmarSchaefer(Editors),437,USD99.00,2015-3-2,新文化史;全球史;经济史;社会学;生态环境;历史;人类学;rice
9787300226996,宏观视野下的清代中国,刘凤云主编,388,CNY69.00,2016-3-1,清史;纪念文集;明清;文集;工具书;学术;历史种种;历史
9780295994178,TheScholarandtheState,LiangyanGe,256,USD50.00,2014-12-11,海外中国研究;明清史;文化史;社会史;政治学;历史;近现代史;近代史
9787205027810,中国国家能力报告,王绍光/胡鞍钢,287,14.70,1993-12,王绍光;政治学;中国国家能力报告;胡鞍钢;经济;中国改革;安邦之道;中国
9787508076652,政治制度论,[法]让-雅克·卢梭,264,36.00,2013-7-1,"卢梭;政治哲学;经典与解释;政治学;哲学;马基雅维里;政治哲學;Rousseau,Jean-Jacques"
9787208145627,个人知识,[英]迈克尔·波兰尼/MichaelPolanyi,562,,2017-9,哲学;波兰尼;知识论;2017;*refresh;philosophy;英国;社会科学
9787308153300,新文学史,［美］芮塔·菲尔斯基主编,276,52.00元,2016-3-1,文学研究;美国;外国文学;2016;文学理论;文化研究;芮塔·;文学
9787201123134,赫尔曼·布洛赫传,[美]埃内斯汀·施兰特,336,68.00,2018-1,传记;布洛赫;小说;外国文学;美国;文学;奥地利;天津人民出版社
9787542620026,社会理论的诸理论,苏国勋/刘小枫,715,44.0,2005-6-1,社会学;社会理论;刘小枫;苏国勋;社会;社会科学;有电;思想史
9787508669175,论文化,[英]特里·伊格尔顿,180,36,2017-6,文化研究;文化;伊格尔顿;社会学;新思文化;特里·伊格尔顿;英国;社会
9787550295438,美国科学·地球科学·一年级,[美]蒂莫西·库尼等著,76,36.00元,2017-3,科普;教材;美国;科学;美国科学;STEM;科普知识;浪花朵朵
9787546107899,类纂李商隐诗笺注疏解,黄世中,4121,480.00元,2009-11,李商隐;古典文学;诗歌;诗词;文学;诗;古典;小说
9787806432235,南明史料,黄宗羲,773,30.00元,1999-8,明史;南明;历史;南明史;明清史;顾炎武;江苏地方文献;政治史
9787210088134,化学变！变！变！,[日]原田佐和子/小川真理子片神贵子沟口惠/富士鹰茄子绘,128,88.00元,2017-3,科普;青少年读物;趣味教辅;绘本;化学;后浪;童书;文化
9787520101387,蒙古帝国中亚征服史,[印]G.D.古拉提,254,128.00,2016-12,历史;蒙元史;蒙古内亚史;蒙古;G.D.古拉提;内蒙古;*北京·社会科学文献出版社*;文化
9787550285262,大留学潮,张倩仪,504,60.00元,2016-10,历史;留学;近代中国;留学潮;现代史;后浪;文化;张倩仪
9787550293366,美国科学·物理科学·一年级,[美]蒂莫西·库尼等,116,46.00元,2017-4,科普;美国科学;科普知识;科学;物理;教育;教材;后浪
